mk.names	chr	pos.ind	pos.cM	log10pval
S1_197561	1	1	0.61920744386106	0.556981264215674
S1_311448	1	2	1.0042074338102	0.611981212764922
S1_911521	1	3	2.62574361810221	0.360387973630444
S1_912111	1	4	2.62725634282876	0.319682716347568
S1_1204210	1	5	3.43419947898193	0.468149179434249
S1_1339491	1	6	3.8423239975517	0.233077010950146
S1_2630632	1	7	7.73752213351083	0.466596644608918
S1_2736876	1	8	8.05804594210869	0.417462412528961
S1_3235434	1	9	9.56212813938034	0.491406878681386
S1_3378888	1	10	9.99490949586726	0.493995924955458
S1_3844672	1	11	11.4001169585376	0.760139632890203
S1_3866914	1	12	11.4672180706082	0.49238913190339
S1_4139891	1	13	12.2907528368032	0.0927648435833866
S1_4468468	1	14	13.2820252988495	0.351689657211676
S1_5024583	1	15	14.5756679587592	0.444666472110606
S1_5692225	1	16	15.7416001429131	0.471443826576173
S1_5764208	1	17	15.8673071781385	0.530300844452082
S1_5940929	1	18	16.175922725866	0.530300844450443
S1_6237681	1	19	16.6941536153428	0.584459135468875
S1_7047273	1	20	18.1079792417017	0.691764969607429
S1_7816816	1	21	19.0826442858614	0.169931707580201
S1_7991216	1	22	19.2473633907639	0.223418006611661
S1_8081393	1	23	19.3325346907799	0.427619458298215
S1_8130399	1	24	19.3788203814614	0.427619458302441
S1_8884451	1	25	20.1279623442609	0.297758647403067
S1_8920152	1	26	20.1703772948238	0.0300276918426406
S1_9421875	1	27	20.76645461034	0.170391167327379
S1_9874810	1	28	21.3045688265577	0.178816833340319
S1_9888207	1	29	21.3204852740715	0.178816833340319
S1_10583575	1	30	23.5117596255677	0.670031833905586
S1_10989689	1	31	25.0940718011769	1.27452494481846
S1_11292709	1	32	26.2747063901176	1.19404466666461
S1_11293311	1	33	26.27705191854	1.1940446666572
S1_11347945	1	34	26.5733929677987	0.226223324881907
S1_11473196	1	35	27.3479237110255	1.19108570778324
S1_11558228	1	36	27.8737470430393	0.200742777055506
S1_11579924	1	37	28.0079113930648	0.200742777055289
S1_11790738	1	38	29.3115490814075	1.09963801060499
S1_12042752	1	39	30.8699605170332	1.12447290004095
S1_12113017	1	40	31.2897190690229	1.13594318570686
S1_12131418	1	41	31.3927997936135	1.1359431857109
S1_12341112	1	42	32.5674864662025	1.14932969354006
S1_12930286	1	43	35.8679855059269	0.131306279355297
S1_12930471	1	44	35.8690218590626	0.131306279264386
S1_13639747	1	45	39.8423213544571	0.261883413873532
S1_14052034	1	46	42.1519155449524	0.183939847025727
S1_14481050	1	47	44.5552240684554	0.263551310672944
S1_14702126	1	48	45.7936716674773	0.229745699528257
S1_15139664	1	49	47.7218327907471	0.207972878509414
S1_15139988	1	50	47.7230535299643	0.10786254550202
S1_15381264	1	51	48.6321124045189	0.106705308180842
S1_15623325	1	52	49.5441289342756	0.0157738619693254
S1_15766678	1	53	50.0842419867302	0.0288841638651916
