mk.names;chr;pos.ind;pos.cM;log10pval;Grinkan;IS23540;CSM388;White_Kaur
S1_14393;1;1;0;4.370861908;1;0.134124811;0.449714377;7.07E-06
S1_20433;1;2;0.020418484;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_20441;1;3;0.020445529;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_27364;1;4;0.043849033;4.370861932;1;0.134124818;0.449714358;7.07E-06
S1_62548;1;5;0.162790086;4.370861932;1;0.134124818;0.449714358;7.07E-06
S1_63880;1;6;0.16729297;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_69121;1;7;0.1850104;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_69171;1;8;0.185179427;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_69198;1;9;0.185270702;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_80344;1;10;0.222950243;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_80410;1;11;0.223173359;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_80411;1;12;0.22317674;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_80721;1;13;0.224224708;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_81129;1;14;0.22560397;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_115402;1;15;0.341465347;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_115430;1;16;0.341560002;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_128878;1;17;0.387021555;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_128880;1;18;0.387028316;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_130488;1;19;0.392464231;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_130542;1;20;0.39264678;4.370861933;1;0.134124818;0.449714358;7.07E-06
S1_145767;1;21;0.444115559;4.370861932;1;0.134124818;0.449714358;7.07E-06
S1_169112;1;22;0.523034354;4.370862695;1;0.134124816;0.449712912;7.07E-06
S1_169115;1;23;0.523044495;4.370864649;1;0.134124811;0.449709204;7.07E-06
S1_169116;1;24;0.523047876;4.380424875;1;0.134098372;0.432118603;7.06E-06
S1_169117;1;25;0.523051256;4.380425178;1;0.134098371;0.432118063;7.06E-06
